xflr5 v6.61

Plane name :        4
Polar name :        T1-50.0 m/s-VLM2
Freestream speed :  50.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -14.000     0.000  -0.661110   0.059939   0.009769   0.069709  -0.000000   0.000000   0.161782  -0.000000  -0.000000   50.0000     0.2038
  -13.800     0.000  -0.652550   0.058378   0.009691   0.068069  -0.000000   0.000000   0.159775  -0.000000  -0.000000   50.0000     0.2037
  -13.600     0.000  -0.643966   0.056833   0.009613   0.066446  -0.000000   0.000000   0.157760  -0.000000  -0.000000   50.0000     0.2035
  -13.500     0.000  -0.639665   0.056068   0.009574   0.065641  -0.000000   0.000000   0.156750  -0.000000  -0.000000   50.0000     0.2035
  -13.400     0.000  -0.635358   0.055306   0.009535   0.064841  -0.000000   0.000000   0.155737  -0.000000  -0.000000   50.0000     0.2034
  -13.200     0.000  -0.626727   0.053796   0.009459   0.063255  -0.000000   0.000000   0.153706  -0.000000  -0.000000   50.0000     0.2033
  -13.000     0.000  -0.618071   0.052304   0.009383   0.061688  -0.000000   0.000000   0.151667  -0.000000  -0.000000   50.0000     0.2032
  -12.800     0.000  -0.609393   0.050830   0.009308   0.060138  -0.000000   0.000000   0.149620  -0.000000  -0.000000   50.0000     0.2031
  -12.600     0.000  -0.600692   0.049374   0.009233   0.058607  -0.000000   0.000000   0.147566  -0.000000  -0.000000   50.0000     0.2030
  -12.500     0.000  -0.596333   0.048653   0.009196   0.057849  -0.000000   0.000000   0.146535  -0.000000  -0.000000   50.0000     0.2030
  -12.400     0.000  -0.591968   0.047936   0.009160   0.057096  -0.000000   0.000000   0.145503  -0.000000  -0.000000   50.0000     0.2029
  -12.200     0.000  -0.583223   0.046517   0.009087   0.055603  -0.000000   0.000000   0.143434  -0.000000  -0.000000   50.0000     0.2028
  -12.000     0.000  -0.574455   0.045116   0.009014   0.054130  -0.000000   0.000000   0.141357  -0.000000  -0.000000   50.0000     0.2027
  -11.800     0.000  -0.565666   0.043733   0.008942   0.052676  -0.000000   0.000000   0.139272  -0.000000  -0.000000   50.0000     0.2026
  -11.600     0.000  -0.556855   0.042370   0.008872   0.051242  -0.000000   0.000000   0.137181  -0.000000  -0.000000   50.0000     0.2025
  -11.500     0.000  -0.552442   0.041696   0.008837   0.050533  -0.000000   0.000000   0.136132  -0.000000  -0.000000   50.0000     0.2025
  -11.400     0.000  -0.548023   0.041026   0.008802   0.049828  -0.000000   0.000000   0.135082  -0.000000  -0.000000   50.0000     0.2024
  -11.200     0.000  -0.539171   0.039701   0.008733   0.048434  -0.000000   0.000000   0.132976  -0.000000  -0.000000   50.0000     0.2024
  -11.000     0.000  -0.530298   0.038395   0.008663   0.047058  -0.000000   0.000000   0.130864  -0.000000  -0.000000   50.0000     0.2023
  -10.800     0.000  -0.521405   0.037109   0.008594   0.045703  -0.000000   0.000000   0.128744  -0.000000  -0.000000   50.0000     0.2022
  -10.600     0.000  -0.512493   0.035843   0.008525   0.044368  -0.000000   0.000000   0.126618  -0.000000  -0.000000   50.0000     0.2021
  -10.500     0.000  -0.508029   0.035217   0.008492   0.043709  -0.000000   0.000000   0.125552  -0.000000  -0.000000   50.0000     0.2021
  -10.400     0.000  -0.503561   0.034597   0.008458   0.043055  -0.000000   0.000000   0.124485  -0.000000  -0.000000   50.0000     0.2020
  -10.200     0.000  -0.494610   0.033370   0.008392   0.041762  -0.000000   0.000000   0.122346  -0.000000  -0.000000   50.0000     0.2020
  -10.000     0.000  -0.485640   0.032164   0.008327   0.040491  -0.000000   0.000000   0.120200  -0.000000  -0.000000   50.0000     0.2019
   -9.800     0.000  -0.476652   0.030978   0.008263   0.039241  -0.000000   0.000000   0.118048  -0.000000  -0.000000   50.0000     0.2018
   -9.600     0.000  -0.467646   0.029813   0.008199   0.038012  -0.000000   0.000000   0.115890  -0.000000  -0.000000   50.0000     0.2018
   -9.500     0.000  -0.463136   0.029238   0.008167   0.037405  -0.000000   0.000000   0.114808  -0.000000  -0.000000   50.0000     0.2017
   -9.400     0.000  -0.458621   0.028668   0.008136   0.036803  -0.000000   0.000000   0.113725  -0.000000  -0.000000   50.0000     0.2017
   -9.200     0.000  -0.449580   0.027544   0.008072   0.035616  -0.000000   0.000000   0.111555  -0.000000  -0.000000   50.0000     0.2016
   -9.000     0.000  -0.440521   0.026441   0.008008   0.034449  -0.000000   0.000000   0.109379  -0.000000  -0.000000   50.0000     0.2016
   -8.800     0.000  -0.431446   0.025358   0.007945   0.033303  -0.000000   0.000000   0.107196  -0.000000  -0.000000   50.0000     0.2015
   -8.600     0.000  -0.422354   0.024297   0.007883   0.032180  -0.000000   0.000000   0.105008  -0.000000  -0.000000   50.0000     0.2015
   -8.500     0.000  -0.417802   0.023775   0.007852   0.031627  -0.000000   0.000000   0.103912  -0.000000  -0.000000   50.0000     0.2014
   -8.400     0.000  -0.413246   0.023258   0.007822   0.031079  -0.000000   0.000000   0.102815  -0.000000  -0.000000   50.0000     0.2014
   -8.200     0.000  -0.404122   0.022239   0.007762   0.030001  -0.000000   0.000000   0.100616  -0.000000  -0.000000   50.0000     0.2014
   -8.000     0.000  -0.394983   0.021242   0.007704   0.028946  -0.000000   0.000000   0.098412  -0.000000  -0.000000   50.0000     0.2013
   -7.800     0.000  -0.385828   0.020267   0.007647   0.027914  -0.000000   0.000000   0.096202  -0.000000  -0.000000   50.0000     0.2013
   -7.600     0.000  -0.376659   0.019314   0.007590   0.026903  -0.000000   0.000000   0.093988  -0.000000  -0.000000   50.0000     0.2012
   -7.500     0.000  -0.372069   0.018845   0.007561   0.026406  -0.000000   0.000000   0.092878  -0.000000  -0.000000   50.0000     0.2012
   -7.400     0.000  -0.367476   0.018382   0.007533   0.025915  -0.000000   0.000000   0.091768  -0.000000  -0.000000   50.0000     0.2012
   -7.200     0.000  -0.358278   0.017473   0.007476   0.024949  -0.000000   0.000000   0.089543  -0.000000  -0.000000   50.0000     0.2012
   -7.000     0.000  -0.349067   0.016585   0.007421   0.024006  -0.000000   0.000000   0.087314  -0.000000  -0.000000   50.0000     0.2012
   -6.800     0.000  -0.339842   0.015720   0.007366   0.023086  -0.000000   0.000000   0.085079  -0.000000  -0.000000   50.0000     0.2011
   -6.600     0.000  -0.330605   0.014877   0.007313   0.022190  -0.000000   0.000000   0.082840  -0.000000  -0.000000   50.0000     0.2011
   -6.500     0.000  -0.325981   0.014464   0.007287   0.021751  -0.000000   0.000000   0.081719  -0.000000  -0.000000   50.0000     0.2011
   -6.400     0.000  -0.321354   0.014057   0.007261   0.021318  -0.000000   0.000000   0.080597  -0.000000  -0.000000   50.0000     0.2011
   -6.200     0.000  -0.312091   0.013259   0.007211   0.020470  -0.000000   0.000000   0.078349  -0.000000  -0.000000   50.0000     0.2011
   -6.000     0.000  -0.302817   0.012483   0.007163   0.019647  -0.000000   0.000000   0.076097  -0.000000  -0.000000   50.0000     0.2011
